file,play_begin(ms)
jimi1.aiff,0
jimi2.aiff,0
jimi3.aiff,0
jimi3.aiff,4774
jimi4.aiff,0
jimi4.aiff,4774
jimi4.aiff,9548
jimi4.aiff,14322
jimi5.aiff,0
jimi5.aiff,4774
jimi5.aiff,9548
jimi5.aiff,14322
jimi5.aiff,19096
jimi5.aiff,23870
jimi5.aiff,28644
jimi6.aiff,0
jimi6.aiff,4774
jimi6.aiff,9548
jimi6.aiff,14322
jimi6.aiff,19096
jimi6.aiff,23870
jimi6.aiff,28644
jimi6.aiff,33418
jimi6.aiff,38192
jimi6.aiff,42966
jimi6.aiff,47740
jimi6.aiff,52514
jimi6.aiff,57288
jimi7.aiff,0
jimi7.aiff,4774
jimi7.aiff,9548
jimi7.aiff,14322
jimi7.aiff,19096
jimi7.aiff,23870
jimi7.aiff,28644
jimi7.aiff,33418
jimi7.aiff,38192
jimi7.aiff,42966
jimi7.aiff,47740
jimi7.aiff,52514
jimi7.aiff,57288
jimi7.aiff,62062
jimi7.aiff,66836
jimi7.aiff,71610
jimi7.aiff,76384
jimi7.aiff,81158
jimi7.aiff,85932
jimi7.aiff,90706
jimi7.aiff,95480
jimi7.aiff,100254
jimi8.aiff,0
